Feature,Coefficient,StdErr,z_value,p_value,OddsRatio,CI_lower_95,CI_upper_95,AbsCoefficient
Intercept,-2.8347006176685148,0.028312771662647302,-100.1209154456715,0.0,0.05873610775476471,0.055565507972813205,0.0620876237803368,2.8347006176685148
duration,1.0792924741008145,0.018464411101234143,58.452580381980106,0.0,2.942596850887383,2.838009406875373,3.0510385927105514,1.0792924741008145
contact_unknown,-0.7425486286999287,0.03692715340780615,-20.108471955570746,6.221092985434913e-90,0.47589947753591966,0.4426727392906842,0.5116201939199183,0.7425486286999287
poutcome_success,0.42607139856389653,0.01673386446365605,25.461626003322344,5.248637490725055e-143,1.5312300988604761,1.4818238007035023,1.582283679438219,0.42607139856389653
housing_yes,-0.360449183067704,0.02397899461710783,-15.031872220803674,4.539907823412107e-51,0.6973630120515663,0.6653466147674741,0.7309200344358717,0.360449183067704
month_jul,-0.308679325374344,0.030848592689584065,-10.006269280431994,1.4304540683815415e-23,0.7344162409226084,0.6913276110811624,0.7801904716164629,0.308679325374344
campaign,-0.2830053246892749,0.035090640555909956,-8.06498029690744,7.324767919701449e-16,0.7535157756116664,0.7034336532680265,0.8071635774856935,0.2830053246892749
month_nov,-0.2603513800939248,0.0267347618351212,-9.738309310536055,2.0696901338126552e-22,0.7707807012194382,0.7314323453009841,0.8122458532071832,0.2603513800939248
month_aug,-0.2539050349060725,0.03007006553676346,-8.443780562953876,3.072357073083484e-17,0.7757654691891643,0.7313659854950754,0.8228603395862147,0.2539050349060725
month_jan,-0.2219156880052523,0.02354900006710986,-9.42357158999693,4.359993541722267e-21,0.8009828939533887,0.7648535663540639,0.8388188597514497,0.2219156880052523
month_may,-0.19946721709108353,0.03694697714384169,-5.3987425362166785,6.710959941317356e-08,0.8191670750523504,0.7619441944321963,0.8806874594666091,0.19946721709108353
loan_yes,-0.16541602741995579,0.024444659248426415,-6.766959839319673,1.3151656320272374e-11,0.8475410304238513,0.8078921725656661,0.8891357320255973,0.16541602741995579
month_mar,0.1607447602512153,0.013542904416113602,11.869297405655333,1.7089680147575068e-32,1.1743851807780694,1.1436228423613461,1.2059749960777404,0.1607447602512153
month_jun,0.14795408913931488,0.033769466130835174,4.381297843622609,1.1797447145305267e-05,1.1594596633499226,1.0852030927626517,1.2387973457697674,0.14795408913931488
marital_married,-0.11655369139555333,0.03187344110043892,-3.656765236871405,0.00025541810564173525,0.8899823113015377,0.8360854250732725,0.947353572585256,0.11655369139555333
month_oct,0.11233929942050504,0.015271507233259887,7.35613700105781,1.8930872582238742e-13,1.1188924358016632,1.0858984352332952,1.1528889279826762,0.11233929942050504
month_sep,0.10648879571020868,0.015209276754475122,7.001568676096042,2.53112303748243e-12,1.1123654631108606,1.0796956123991779,1.1460238509002778,0.10648879571020868
day,0.09419601725188625,0.02320558291572576,4.059196340551837,4.924189729667157e-05,1.0987751036858306,1.0499199366963416,1.1499036129161397,0.09419601725188625
education,0.08201230552313085,0.0238055739206116,3.445088356056061,0.0005708727531041908,1.0854691670133079,1.0359866296465376,1.137315172627819,0.08201230552313085
month_dec,0.05786325805439297,0.013274935217050166,4.35883543748478,1.3075638671520558e-05,1.0595700981269998,1.0323573361974463,1.0875001837833957,0.05786325805439297
poutcome_other,0.055096544823742474,0.019766290391543283,2.7873993416243,0.005313295804003011,1.0566426231270296,1.0164898080753126,1.0983815323469017,0.055096544823742474
balance,0.047762335784767906,0.016938419049372676,2.8197635000969474,0.004805905526126345,1.048921334632505,1.014670211067515,1.0843286362863642,0.047762335784767906
